conjunto,CV,dp,OOT,ΔCV,secao,configuração
17 features (baseline),0.7249488446366777,0.01965591797480907,0.7409620859046848,0.0,derivadas,
+ entrada_sobre_renda,0.7210183895772634,0.021097984537827828,0.7365776468056133,-0.003930455059414362,derivadas,
+ financiado_sobre_renda,0.718582757783284,0.02593135649815246,0.7394771431162681,-0.006366086853393793,derivadas,
+ bem_sobre_renda,0.7214495556068593,0.022098148573505928,0.7396964327532084,-0.003499289029818442,derivadas,
+ score_por_restricao,0.719511468556702,0.01979605875582533,0.7386893247909642,-0.005437376079975742,derivadas,
+ pressao_bureau,0.723999112218304,0.019725698904102543,0.7426717328889785,-0.0009497324183737055,derivadas,
+ estabilidade_emprego,0.7192494196881933,0.02231544030326503,0.7376077666433389,-0.005699424948484411,derivadas,
+ idade_veiculo_no_fim,0.7254300014821631,0.021122906725168717,0.7438845940908211,0.000481156845485331,derivadas,
+ todas as sete,0.7169559492744522,0.019580479421957987,0.7367982900822878,-0.007992895362225583,derivadas,
,0.7249488446366777,0.01965591797480907,0.7409620859046848,,imputacao,HistGB | NaN preservado + ordinal
,0.7237606806928136,0.024066826159817093,0.739795248453805,,imputacao,HistGB | imputação mediana + ordinal
,0.6519728496695916,0.031220220658257938,0.6552753370901349,,imputacao,Logística | mediana + one-hot + padronização
