variável,IV_treino,IV_conferencia,força,rho,inversões,monotonicidade,PSI_aplicacao
score_bureau,0.17314883228875855,0.28644377465591575,médio,-0.7939393939393938,1,monotônica,0.48756058236043825
qtd_restricoes_ativas,0.13282686935086713,0.10829641985154645,médio,1.0,0,monotônica,2.334562064056394
idade_cliente,0.11713061494333223,0.15993978754974744,médio,-0.6121212121212121,4,NÃO monotônica — agrupar por WoE,0.0034405359527865725
renda_mensal_declarada,0.1125314452485233,0.16969789428959367,médio,-0.8997002046464956,5,NÃO monotônica — agrupar por WoE,0.1413752027898595
prazo_meses,0.0772516465191571,0.058622799669486386,fraco,1.0,0,monotônica,0.0031231763324010764
valor_entrada,0.05904766480412524,0.061209013058691766,fraco,-0.6504589317376691,4,NÃO monotônica — agrupar por WoE,0.11091038825242891
valor_bem,0.054498990268028916,0.04770900811150565,fraco,-0.9515151515151514,4,NÃO monotônica — agrupar por WoE,0.04018022875203895
comprometimento_renda,0.050337195408851454,0.13303702916550159,fraco,0.40729671426564323,3,NÃO monotônica — agrupar por WoE,
valor_financiado,0.04864742879879957,0.020892291312673974,fraco,-0.7963562622208846,6,NÃO monotônica — agrupar por WoE,0.009335717825218718
ocupacao,0.0468608033995912,0.03754185178999697,fraco,-0.7999999999999999,3,aceitável,0.0015490866342055829
tempo_emprego_meses,0.03609171449391304,0.06044679702205696,fraco,-0.7696969696969697,7,NÃO monotônica — agrupar por WoE,0.0014502506895338909
ltv,0.017254783691131134,0.05564783113230077,inútil,0.5878787878787878,4,NÃO monotônica — agrupar por WoE,0.08169756183996786
idade_veiculo_anos,0.013726638078065904,0.04940726585253086,inútil,0.8333333333333335,3,aceitável,0.021647705758742468
ano_modelo,0.013012541991193392,0.04579913412926473,inútil,-0.7380952380952381,3,aceitável,1.3940179659107794
tipo_residencia,0.011775461448022858,0.029976643417593724,inútil,-0.39999999999999997,2,NÃO monotônica — agrupar por WoE,0.002852669677317896
qtd_consultas_bureau_3m,0.01086127199652458,0.02763967631845328,inútil,1.0,0,monotônica,0.07631986119546609
possui_avalista,0.009290542551024818,0.01974346107380861,inútil,,0,não aplicável,0.05648475433957114
canal_originacao,0.008025911188924654,0.04329211377231945,inútil,0.39999999999999997,2,NÃO monotônica — agrupar por WoE,0.0035597326077018866
