variável,queda_auc,dp
idade_cliente,0.08164823234955314,0.004731265200567545
score_bureau,0.0682647962975246,0.006251903164218157
prazo_meses,0.0607698961352232,0.009040931188804505
comprometimento_renda,0.02833411618831295,0.004646027364388385
qtd_restricoes_ativas,0.02469688622251943,0.005027423906376199
ocupacao,0.01838242759042653,0.0060742220151929595
tempo_emprego_meses,0.012593248857189676,0.005081082384751571
valor_entrada,0.004918585338186588,0.003062998029103652
idade_veiculo_anos,0.0037342859347356374,0.0036974205387440896
renda_mensal_declarada,0.0015941815149665196,0.0017756377197948668
canal_originacao,0.0007186473348864353,0.0007291057089298473
tipo_residencia,0.00057651516279551,0.0008091239154126711
qtd_consultas_bureau_3m,0.0003328600106396018,0.0006264025313504821
valor_financiado,0.0001459223633467288,0.002070357594528723
possui_avalista,0.0,0.0
valor_bem,-0.0017621682059806188,0.0012956473291300234
ltv,-0.004408533886340294,0.003781286829425302
