id_proposta,faixa,valor_financiado,pd,fator_ead,ead,lgd,perda_esperada,perda_pct
P000001,3,21120.0,0.166005,1.042,22007.04,0.841587,3074.554431,0.145575
P000002,7,40610.41,0.057487,1.038,42153.60558,0.751587,1821.315311,0.044848
P000003,10,16566.0,0.024353,0.995,16483.17,0.915587,367.52954,0.022186
P000004,4,33379.2,0.132882,1.027,34280.4384,0.844587,3847.304965,0.115261
P000005,1,68301.42,0.487968,1.042,71170.07964,0.679587,23601.174858,0.345544
P000006,6,52626.87,0.074052,1.027,54047.79549,0.751587,3008.102927,0.057159
P000007,10,49593.6,0.032782,1.04,51577.344,0.763587,1291.063734,0.026033
P000008,9,30789.85,0.043522,1.037,31929.07445,0.753587,1047.200829,0.034011
P000009,7,31307.5,0.065354,1.015,31777.1125,0.588587,1222.346229,0.039043
P000010,9,36494.07,0.041898,1.04,37953.8328,0.763587,1214.244683,0.033272
P000011,1,28417.42,0.559009,1.015,28843.6813,0.667587,10764.078479,0.378785
P000012,2,41177.19,0.269297,1.04,42824.2776,0.667587,7698.904512,0.18697
P000013,7,33432.63,0.061689,1.02,34101.2826,0.719587,1513.786098,0.045279
P000014,2,37318.14,0.212147,1.04,38810.8656,0.667587,5496.652806,0.147292
P000015,10,27446.97,0.028884,1.04,28544.8488,0.588587,485.275609,0.01768
P000016,9,22953.4,0.044221,1.032,23687.9088,0.719587,753.765409,0.032839
P000017,2,89572.0,0.235306,1.002,89751.144,0.844587,17836.778798,0.199133
P000018,8,29688.8,0.052458,1.04,30876.352,0.763587,1236.783232,0.041658
P000019,6,8826.4,0.076898,1.024,9038.2336,0.643587,447.304553,0.050678
P000020,1,19129.0,0.344703,1.04,19894.16,0.901587,6182.692387,0.32321
P000021,9,62487.76,0.038495,1.038,64862.29488,0.679587,1696.855999,0.027155
P000022,9,50399.2,0.041887,1.04,52415.168,0.520587,1142.95319,0.022678
P000023,10,57832.2,0.034934,1.013,58584.0186,0.763587,1562.722417,0.027022
P000024,1,29408.46,0.317758,1.042,30643.61532,0.751587,7318.398552,0.248854
P000025,1,14372.93,0.531471,1.04,14947.8472,0.427587,3396.896146,0.23634
P000026,1,24044.04,0.316493,1.02,24524.9208,0.719587,5585.406428,0.232299
P000027,2,29940.0,0.224476,0.995,29790.3,0.719587,4812.022009,0.160722
P000028,1,49005.52,0.406728,1.04,50965.7408,0.763587,15828.540903,0.322995
P000029,10,30946.92,0.029275,1.037,32091.95604,0.637587,599.010851,0.019356
P000030,6,16175.04,0.076053,1.037,16773.51648,0.558587,712.57128,0.044054
P000031,9,33015.0,0.043466,1.032,34071.48,0.611587,905.739818,0.027434
P000032,2,22764.94,0.287642,1.015,23106.4141,0.753587,5008.625069,0.220015
P000033,2,21619.92,0.229849,1.027,22203.65784,0.751587,3835.718019,0.177416
P000034,8,20087.94,0.045369,1.021,20509.78674,0.427587,397.870224,0.019806
P000035,10,56920.86,0.034127,1.002,57034.70172,0.751587,1462.916572,0.025701
P000036,8,15501.2,0.045491,0.995,15423.694,0.719587,504.888591,0.032571
P000037,3,30209.6,0.174368,1.038,31357.5648,0.672587,3677.54561,0.121734
P000038,9,38388.35,0.043188,1.027,39424.83545,0.751587,1279.72138,0.033336
P000039,8,18920.0,0.045196,1.013,19165.96,0.763587,661.44274,0.03496
P000040,5,56911.05,0.10144,1.042,59301.3141,0.751587,4521.198418,0.079443
P000041,2,17083.0,0.228209,1.02,17424.66,0.611587,2431.956199,0.142361
P000042,1,17205.75,0.538578,1.032,17756.334,0.640587,6126.038291,0.356046
P000043,2,29879.28,0.266884,1.04,31074.4512,0.588587,4881.305957,0.163368
P000044,9,31028.4,0.041196,1.021,31679.9964,0.599587,782.506223,0.025219
P000045,6,11792.0,0.083866,0.98,11556.16,0.643587,623.744588,0.052896
P000046,2,24870.06,0.234726,1.04,25864.8624,0.667587,4053.015526,0.162968
P000047,6,20234.76,0.068395,1.021,20659.68996,0.599587,847.223505,0.04187
P000048,3,23234.81,0.18014,1.038,24117.73278,0.751587,3265.326237,0.140536
P000049,3,27342.0,0.187455,1.042,28490.364,0.679587,3629.441332,0.132742
P000050,8,32133.34,0.052299,1.015,32615.3401,0.558587,952.808654,0.029652
P000051,2,18587.8,0.291556,1.04,19331.312,0.822587,4636.224584,0.249423
P000052,7,30364.68,0.058717,1.032,31336.34976,0.611587,1125.305922,0.03706
P000053,2,21560.0,0.283418,1.038,22379.28,0.844587,5356.961573,0.248468
P000054,2,16869.6,0.216861,1.041,17561.2536,0.611587,2329.134351,0.138067
P000055,5,30051.75,0.096822,1.041,31283.87175,0.611587,1852.481372,0.061643
P000056,2,21982.08,0.211374,1.015,22311.8112,0.753587,3554.02133,0.161678
P000057,2,37244.55,0.238434,1.042,38808.8211,0.841587,7787.478499,0.20909
P000058,1,21340.0,0.353477,1.042,22236.28,0.672587,5286.534205,0.247729
P000059,2,11805.2,0.215312,1.024,12088.5248,0.778587,2026.509158,0.171662
P000060,10,30943.64,0.031549,1.04,32181.3856,0.667587,677.799479,0.021904
P000061,3,19452.4,0.147094,1.015,19744.186,0.684587,1988.205355,0.102209
P000062,3,17560.4,0.160493,1.032,18122.3328,0.915587,2662.996992,0.151648
P000063,1,27545.76,0.378096,1.042,28702.68192,0.679587,7375.132261,0.267741
P000064,3,44210.0,0.148192,1.013,44784.73,0.667587,4430.604678,0.100217
P000065,8,27071.28,0.046951,1.015,27477.3492,0.901587,1163.135466,0.042966
P000066,3,19128.55,0.17736,1.003,19185.93565,0.637587,2169.594569,0.113422
P000067,2,20939.6,0.269378,1.038,21735.3048,0.923587,5407.613796,0.258248
P000068,3,19335.43,0.193931,1.04,20108.8472,0.763587,2977.783806,0.154007
P000069,7,17725.12,0.059586,1.041,18451.84992,0.915587,1006.66445,0.056793
P000070,4,15901.76,0.142371,0.995,15822.2512,0.832587,1875.503479,0.117943
P000071,2,28629.48,0.21004,1.037,29688.77076,0.637587,3975.880518,0.138874
P000072,10,75317.12,0.023281,1.015,76446.8768,0.637587,1134.738593,0.015066
P000073,1,26689.95,0.439816,1.04,27757.548,0.901587,11006.759835,0.412393
P000074,4,45365.76,0.140503,1.032,46817.46432,0.611587,4023.026162,0.08868
P000075,7,63845.38,0.05576,1.04,66399.1952,0.832587,3082.567269,0.048282
P000076,5,40669.44,0.088682,1.032,41970.86208,0.753587,2804.886228,0.068968
P000077,3,44059.31,0.150532,1.02,44940.4962,0.915587,6193.945072,0.140582
P000078,2,15728.84,0.272153,1.021,16059.14564,0.348587,1523.511838,0.096861
P000079,6,34331.04,0.07838,1.02,35017.6608,0.832587,2285.188105,0.066563
P000080,4,16601.2,0.134258,1.041,17281.8492,0.915587,2124.363559,0.127964
P000081,8,17971.8,0.045865,1.04,18690.672,0.763587,654.583528,0.036423
P000082,3,15466.5,0.208552,1.015,15698.4975,0.753587,2467.208135,0.159519
P000083,2,25536.84,0.237982,1.04,26558.3136,0.667587,4219.416014,0.165229
P000084,1,22365.18,0.345161,1.04,23259.7872,0.667587,5359.630193,0.239642
P000085,10,69798.8,0.030156,1.015,70845.782,0.763587,1631.326015,0.023372
P000086,1,15576.0,0.345774,1.02,15887.52,0.832587,4573.804447,0.293644
P000087,4,35624.16,0.107406,1.04,37049.1264,0.427587,1701.499023,0.047763
P000088,3,26379.54,0.208252,1.015,26775.2331,0.822587,4586.747815,0.173875
P000089,7,16654.26,0.056018,1.003,16704.22278,0.637587,596.613758,0.035823
P000090,10,60403.32,0.032774,1.003,60584.52996,0.637587,1265.972034,0.020959
P000091,5,30586.3,0.103827,1.032,31565.0616,0.719587,2358.311713,0.077104
P000092,9,36883.26,0.038319,1.04,38358.5904,0.684587,1006.256024,0.027282
P000093,3,18604.72,0.178534,1.04,19348.9088,0.857587,2962.479371,0.159233
P000094,2,19735.8,0.237883,1.04,20525.232,0.778587,3801.536955,0.192621
P000095,2,16099.6,0.244996,0.995,16019.102,0.611587,2400.239891,0.149087
P000096,3,17820.36,0.203863,1.041,18550.99476,0.836587,3163.84919,0.177541
P000097,6,24194.7,0.072711,1.015,24557.6205,0.763587,1363.458286,0.056354
P000098,4,70975.44,0.134084,1.027,72891.77688,0.923587,9026.79719,0.127182
P000099,7,18465.2,0.062621,1.003,18520.5956,0.637587,739.455807,0.040046
P000100,3,19093.8,0.184663,1.04,19857.552,0.901587,3306.070172,0.173149
P000101,2,17261.2,0.22562,1.032,17813.5584,0.532587,2140.513191,0.124007
P000102,8,39015.0,0.049585,1.04,40575.6,0.763587,1536.276162,0.039377
P000103,4,34803.51,0.118942,1.002,34873.11702,0.600587,2491.158611,0.071578
P000104,5,40982.55,0.098552,1.013,41515.32315,0.588587,2408.159993,0.058761
P000105,10,30183.89,0.02933,1.027,30998.85503,0.672587,611.514912,0.02026
P000106,3,17754.0,0.155766,1.015,18020.31,0.588587,1652.137299,0.093057
P000107,10,17142.4,0.035873,0.995,17056.688,0.611587,374.214491,0.02183
P000108,9,46265.67,0.038308,1.015,46959.65505,0.667587,1200.951127,0.025958
P000109,6,26427.34,0.072542,1.021,26982.31414,0.778587,1523.974198,0.057667
P000110,5,54997.47,0.097702,1.037,57032.37639,0.586587,3268.560709,0.059431
P000111,2,18884.26,0.239474,1.037,19582.97762,0.558587,2619.561163,0.138717
P000112,3,16733.2,0.181248,0.995,16649.534,0.836587,2524.56655,0.150872
P000113,7,37528.8,0.054213,1.003,37641.3864,0.637587,1301.088251,0.034669
P000114,1,18952.92,0.305302,0.995,18858.1554,0.640587,3688.137402,0.194595
P000115,2,36202.28,0.234752,1.042,37722.77576,0.844587,7479.246146,0.206596
P000116,8,38788.2,0.046105,1.041,40378.5162,0.719587,1339.60658,0.034536
P000117,1,38982.1,0.484981,1.04,40541.384,0.763587,15013.494886,0.385138
P000118,10,26525.36,0.033883,1.04,27586.3744,0.667587,623.99487,0.023524
P000119,6,17590.56,0.081578,1.04,18294.1824,0.427587,638.128131,0.036277
P000120,2,28255.5,0.241276,1.04,29385.72,0.684587,4853.76015,0.171781
P000121,2,32425.59,0.233019,1.042,33787.46478,0.844587,6649.527267,0.20507
P000122,2,20790.0,0.214946,1.038,21580.02,0.841587,3903.736961,0.18777
P000123,4,8868.2,0.13731,1.04,9222.928,0.599587,759.317035,0.085622
P000124,2,37047.68,0.209805,1.04,38529.5872,0.667587,5396.58329,0.145666
P000125,8,30650.4,0.048787,1.003,30742.3512,0.637587,956.261404,0.031199
P000126,7,23513.49,0.066222,1.027,24148.35423,0.637587,1019.603147,0.043362
P000127,5,29515.9,0.092392,1.027,30312.8293,0.600587,1682.039745,0.056988
P000128,3,34183.52,0.204363,1.038,35482.49376,0.679587,4927.896354,0.14416
P000129,1,13667.6,0.731792,1.04,14214.304,0.599587,6236.849879,0.456324
P000130,10,12000.0,0.032388,1.021,12252.0,0.599587,237.929147,0.019827
P000131,3,21872.14,0.173154,1.04,22747.0256,0.822587,3239.950173,0.148131
P000132,10,50400.32,0.034934,0.995,50148.3184,0.611587,1071.441746,0.021259
P000133,2,38728.77,0.26994,1.027,39774.44679,0.558587,5997.394693,0.154856
P000134,2,16319.6,0.231701,1.02,16645.992,0.719587,2775.37186,0.170064
P000135,7,8626.8,0.058542,1.04,8971.872,0.857587,450.429403,0.052213
