id_proposta,faixa,pd_enquadramento,decisao,taxa_am,prazo_meses,pct_entrada_minima,pct_entrada_efetiva,valor_entrada,valor_financiado,ltv,idade_veiculo_anos,possui_avalista,pd_oferta
P000001,3,0.166005,NEGAR,0.0336,60,0.21,0.21,4620.0,17380.0,0.79,8,Não,0.133905
P000002,7,0.057487,APROVAR,0.0256,48,0.0,0.0707,3089.59,40610.41,0.9293,3,Não,0.057487
P000003,10,0.024353,APROVAR,0.0227,24,0.0,0.247,5434.0,16566.0,0.753,12,Não,0.024353
P000004,4,0.132882,NEGAR,0.0303,36,0.21,0.21,7560.0,28440.0,0.79,9,Sim,0.134573
P000005,1,0.487968,NEGAR,0.035,60,0.21,0.21,15057.0,56643.0,0.79,2,Não,0.253841
P000006,6,0.074052,APROVAR,0.0265,36,0.21,0.21,11487.0,43213.0,0.79,4,Não,0.040566
P000007,10,0.032782,APROVAR,0.0227,48,0.0,0.136,7806.4,49593.6,0.864,3,Não,0.032782
P000008,9,0.043522,APROVAR,0.0236,60,0.0,0.3233,14710.15,30789.85,0.6767,6,Não,0.043522
P000009,7,0.065354,APROVAR,0.0256,36,0.0,0.1055,3692.5,31307.5,0.8945,2,Sim,0.065354
P000010,9,0.041898,APROVAR,0.0236,48,0.0,0.1687,7405.93,36494.07,0.8313,4,Não,0.041898
P000011,1,0.559009,NEGAR,0.035,36,0.21,0.21,6846.0,25754.0,0.79,2,Não,0.592092
P000012,2,0.269297,NEGAR,0.035,48,0.21,0.21,10521.0,39579.0,0.79,1,Não,0.274211
P000013,7,0.061689,APROVAR,0.0256,36,0.0,0.2587,11667.37,33432.63,0.7413,5,Não,0.061689
P000014,2,0.212147,NEGAR,0.035,60,0.21,0.21,9513.0,35787.0,0.79,2,Não,0.190432
P000015,10,0.028884,APROVAR,0.0227,60,0.0,0.1231,3853.03,27446.97,0.8769,1,Sim,0.028884
P000016,9,0.044221,APROVAR,0.0236,48,0.0,0.269,8446.6,22953.4,0.731,5,Não,0.044221
P000017,2,0.235306,NEGAR,0.035,24,0.21,0.21,19194.0,72206.0,0.79,9,Sim,0.170819
P000018,8,0.052458,APROVAR,0.0247,60,0.0,0.1976,7311.2,29688.8,0.8024,3,Não,0.052458
P000019,6,0.076898,APROVAR,0.0265,48,0.21,0.5988,13173.6,8826.4,0.4012,6,Não,0.076898
P000020,1,0.344703,NEGAR,0.035,60,0.21,0.21,4620.0,17380.0,0.79,9,Não,0.348738
P000021,9,0.038495,APROVAR,0.0236,48,0.0,0.0996,6912.24,62487.76,0.9004,2,Não,0.038495
P000022,9,0.041887,APROVAR,0.0236,60,0.0,0.416,35900.8,50399.2,0.584,3,Sim,0.041887
P000023,10,0.034934,APROVAR,0.0227,24,0.0,0.199,14367.8,57832.2,0.801,3,Não,0.034934
P000024,1,0.317758,NEGAR,0.035,60,0.21,0.21,6846.0,25754.0,0.79,5,Não,0.329368
P000025,1,0.531471,NEGAR,0.035,60,0.21,0.4319,10927.07,14372.93,0.5681,2,Não,0.531471
P000026,1,0.316493,NEGAR,0.035,36,0.21,0.2579,8355.96,24044.04,0.7421,4,Não,0.316493
P000027,2,0.224476,NEGAR,0.035,24,0.21,0.2515,10060.0,29940.0,0.7485,3,Não,0.224476
P000028,1,0.406728,NEGAR,0.035,60,0.21,0.21,12453.0,46847.0,0.79,3,Não,0.406191
P000029,10,0.029275,APROVAR,0.0227,60,0.0,0.3316,15353.08,30946.92,0.6684,4,Não,0.029275
P000030,6,0.076053,APROVAR,0.0265,60,0.21,0.3504,8724.96,16175.04,0.6496,4,Sim,0.076053
P000031,9,0.043466,APROVAR,0.0236,48,0.0,0.29,13485.0,33015.0,0.71,2,Não,0.043466
P000032,2,0.287642,NEGAR,0.035,36,0.21,0.21,5313.0,19987.0,0.79,8,Sim,0.288853
P000033,2,0.229849,NEGAR,0.035,36,0.21,0.21,4998.0,18802.0,0.79,4,Não,0.230844
P000034,8,0.045369,APROVAR,0.0247,36,0.0,0.5003,20112.06,20087.94,0.4997,2,Não,0.045369
P000035,10,0.034127,APROVAR,0.0227,24,0.0,0.0834,5179.14,56920.86,0.9166,3,Não,0.034127
P000036,8,0.045491,APROVAR,0.0247,24,0.0,0.2954,6498.8,15501.2,0.7046,4,Não,0.045491
P000037,3,0.174368,NEGAR,0.0336,48,0.21,0.21,6636.0,24964.0,0.79,3,Sim,0.154318
P000038,9,0.043188,APROVAR,0.0236,36,0.0,0.0705,2911.65,38388.35,0.9295,3,Não,0.043188
P000039,8,0.045196,APROVAR,0.0247,24,0.0,0.14,3080.0,18920.0,0.86,5,Não,0.045196
P000040,5,0.10144,APROVAR,0.0282,60,0.21,0.21,12789.0,48111.0,0.79,5,Não,0.076293
P000041,2,0.228209,NEGAR,0.035,36,0.21,0.2235,4917.0,17083.0,0.7765,1,Não,0.228209
P000042,1,0.538578,NEGAR,0.035,48,0.21,0.2353,5294.25,17205.75,0.7647,5,Sim,0.538578
P000043,2,0.266884,NEGAR,0.035,60,0.21,0.21,7308.0,27492.0,0.79,1,Sim,0.295723
P000044,9,0.041196,APROVAR,0.0236,36,0.0,0.4254,22971.6,31028.4,0.5746,3,Não,0.041196
P000045,6,0.083866,APROVAR,0.0265,24,0.21,0.464,10208.0,11792.0,0.536,8,Não,0.083866
P000046,2,0.234726,NEGAR,0.035,48,0.21,0.21,5859.0,22041.0,0.79,2,Não,0.244258
P000047,6,0.068395,APROVAR,0.0265,36,0.21,0.4332,15465.24,20234.76,0.5668,4,Não,0.068395
P000048,3,0.18014,NEGAR,0.0336,48,0.21,0.21,5061.0,19039.0,0.79,4,Não,0.148867
P000049,3,0.187455,NEGAR,0.0336,60,0.21,0.21,5859.0,22041.0,0.79,2,Não,0.058822
P000050,8,0.052299,APROVAR,0.0247,36,0.0,0.3891,20466.66,32133.34,0.6109,3,Sim,0.052299
P000051,2,0.291556,NEGAR,0.035,48,0.21,0.21,4620.0,17380.0,0.79,9,Sim,0.293447
