faixa,n,pd_prevista,pd_de,pd_ate,pct,pd_observada,ic_lo,ic_hi
1,300,0.411002,0.302241,0.799257,0.03,0.42,0.364149,0.475851
2,400,0.24697,0.210057,0.301694,0.04,0.2475,0.205207,0.289793
3,600,0.171306,0.142801,0.209545,0.06,0.19,0.158609,0.221391
4,700,0.122521,0.106727,0.142759,0.07,0.12,0.095927,0.144073
5,800,0.094321,0.083913,0.106699,0.08,0.08875,0.069043,0.108457
6,1000,0.074393,0.066309,0.083896,0.1,0.086,0.068623,0.103377
7,1200,0.059611,0.054209,0.066281,0.12,0.056667,0.043585,0.069748
8,1406,0.049162,0.044808,0.054194,0.1406,0.041252,0.030856,0.051647
9,1588,0.040804,0.036903,0.044794,0.1588,0.033375,0.024541,0.04221
10,2006,0.030719,0.011373,0.036898,0.2006,0.0334,0.025537,0.041263
