faixa,n,decisao,taxa_am,prazo_medio,entrada_minima,pd_publicada,pd_precificada,aceite,volume,juros,perda,juros_pct,perda_pct,roi
10,629,APROVAR,0.0227,42.486486,0.0,0.031171,0.031171,0.755119,18771567.350417,10482166.011626,448617.255336,0.558407,0.023899,0.151016
9,456,APROVAR,0.0236,41.736842,0.0,0.040697,0.040697,0.741345,12431429.972597,7107161.294151,403695.338383,0.571709,0.032474,0.153744
8,436,APROVAR,0.0247,41.642202,0.0,0.049444,0.049444,0.721622,10955508.112718,6381906.091617,444900.692608,0.582529,0.04061,0.158095
7,380,APROVAR,0.0256,42.852632,0.0,0.06016,0.06016,0.699944,9883745.59382,6016373.348887,509031.688744,0.608714,0.051502,0.160063
6,421,APROVAR,0.0265,42.413302,0.21,0.074653,0.069264,0.657264,9046537.73456,5568650.748278,521204.098354,0.615556,0.057614,0.163206
5,320,APROVAR,0.0282,42.9,0.21,0.094986,0.088221,0.617169,6332712.959627,4133547.176032,482927.670651,0.652729,0.076259,0.167197
4,364,NEGAR,,,,0.123764,0.116607,,,,,,,
3,567,NEGAR,,,,0.176067,0.168187,,,,,,,
2,714,NEGAR,,,,0.252752,0.240356,,,,,,,
1,713,NEGAR,,,,0.430952,0.406981,,,,,,,
