id_contrato,data_originacao,valor_bem,valor_entrada,valor_financiado,ltv,prazo_meses,taxa_juros_am,parcela_mensal,comprometimento_renda,canal_originacao,ano_modelo,idade_veiculo_anos,idade_cliente,ocupacao,renda_mensal_declarada,tempo_emprego_meses,tipo_residencia,score_bureau,qtd_restricoes_ativas,qtd_consultas_bureau_3m,possui_avalista,qtd_parcelas_em_atraso_12m,default_90_12,mes_default,ead_realizado,lgd_realizado,perda_financeira
C000001,2024-08-01,43600.0,9779.48,33820.52,0.7757,48,0.01516,996.87,0.1637,Digital,2021,1,51,Autônomo,6089.87,72.0,Própria,782.0,0,0,Não,4,0,,,,0.0
C000002,2024-11-01,71300.0,23193.89,48106.11,0.6747,60,0.01546,1236.07,0.1586,Concessionária,2018,4,27,CLT,7794.44,12.0,Alugada,652.0,0,1,Não,0,0,,,,0.0
C000003,2023-05-01,40500.0,16985.7,23514.3,0.5806,36,0.0158,861.47,0.2457,Correspondente bancário,2021,1,35,CLT,3506.69,46.0,Própria,802.0,0,0,Sim,0,0,,,,0.0
C000004,2022-10-01,37000.0,14074.8,22925.2,0.6196,48,0.01543,679.62,0.079,Revenda multimarca,2020,2,32,CLT,8605.74,98.0,Alugada,643.0,0,3,Não,5,1,5.0,24307.27,0.4834,11751.2
C000005,2024-05-01,32800.0,5930.24,26869.76,0.8192,36,0.01519,974.48,0.3025,Concessionária,2021,1,44,CLT,3221.59,13.0,Financiada,696.0,1,2,Sim,0,0,,,,0.0
C000006,2022-04-01,35800.0,5169.52,30630.48,0.8556,48,0.01493,898.43,0.207,Concessionária,2016,6,63,CLT,4340.92,28.0,Financiada,590.0,1,2,Não,1,0,,,,0.0
C000007,2024-12-01,37200.0,5382.84,31817.16,0.8553,24,0.01395,1569.14,0.2134,Digital,2021,1,43,CLT,7352.83,54.0,Própria,601.0,1,1,Não,0,0,,,,0.0
C000008,2023-09-01,22000.0,5986.2,16013.8,0.7279,36,0.01378,567.24,0.1584,Concessionária,2016,6,26,CLT,3580.63,42.0,Própria,614.0,2,0,Não,0,0,,,,0.0
C000009,2022-09-01,30500.0,10763.45,19736.55,0.6471,48,0.0142,569.91,0.1753,Digital,2020,2,44,CLT,3250.54,64.0,Própria,585.0,2,0,Sim,1,0,,,,0.0
C000010,2023-11-01,42500.0,23927.5,18572.5,0.437,48,0.01716,571.04,0.1094,Revenda multimarca,2012,10,33,CLT,5220.48,91.0,Alugada,506.0,1,7,Não,0,0,,,,0.0
C000011,2024-08-01,22000.0,2943.6,19056.4,0.8662,48,0.01587,570.23,0.2525,Digital,2022,0,43,Autônomo,2258.55,25.0,Alugada,588.0,2,3,Sim,1,0,,,,0.0
C000012,2023-01-01,75900.0,33274.56,42625.44,0.5616,48,0.01776,1327.09,0.3084,Revenda multimarca,2018,4,41,CLT,4303.76,19.0,Alugada,716.0,1,2,Não,0,0,,,,0.0
C000013,2023-01-01,53500.0,28248.0,25252.0,0.472,48,0.01607,758.83,0.1242,Concessionária,2020,2,50,CLT,6111.92,57.0,Financiada,560.0,1,1,Não,1,0,,,,0.0
C000014,2024-02-01,22000.0,10370.8,11629.2,0.5286,36,0.01469,418.26,0.166,Concessionária,2010,12,62,Autônomo,2519.14,104.0,Familiar,,1,1,Não,0,0,,,,0.0
C000015,2024-09-01,38200.0,7036.44,31163.56,0.8158,60,0.01632,818.45,0.0593,Digital,2019,3,43,Empresário,13805.69,10.0,Financiada,701.0,0,4,Não,0,0,,,,0.0
C000016,2022-07-01,29000.0,3607.6,25392.4,0.8756,48,0.01446,737.33,0.1843,Concessionária,2018,4,34,CLT,4001.48,20.0,Própria,593.0,0,3,Não,0,0,,,,0.0
C000017,2022-05-01,30300.0,5696.4,24603.6,0.812,48,0.01732,759.01,0.3336,Correspondente bancário,2014,8,45,Autônomo,2275.04,32.0,Familiar,657.0,0,0,Não,1,0,,,,0.0
C000018,2022-03-01,33900.0,6783.39,27116.61,0.7999,48,0.01631,819.0,0.1983,Digital,2022,0,55,Servidor público,4130.97,8.0,Alugada,626.0,0,2,Não,0,0,,,,0.0
C000019,2024-11-01,71600.0,3837.76,67762.24,0.9464,36,0.01448,2428.61,0.385,Concessionária,2020,2,32,CLT,6307.66,49.0,Familiar,510.0,1,0,Não,0,0,,,,0.0
C000020,2022-07-01,28700.0,4919.18,23780.82,0.8286,36,0.01448,852.31,0.1343,Revenda multimarca,2017,5,37,Empresário,6348.06,11.0,Alugada,657.0,1,1,Não,5,0,,,,0.0
C000021,2024-07-01,41500.0,6623.4,34876.6,0.8404,36,0.01481,1256.89,0.2864,Digital,2019,3,67,Aposentado,4388.26,395.0,Financiada,716.0,0,2,Não,5,0,,,,0.0
