id_contrato,data_originacao,valor_bem,valor_entrada,valor_financiado,ltv,prazo_meses,taxa_juros_am,parcela_mensal,comprometimento_renda,canal_originacao,ano_modelo,idade_veiculo_anos,idade_cliente,ocupacao,renda_mensal_declarada,tempo_emprego_meses,tipo_residencia,score_bureau,qtd_restricoes_ativas,qtd_consultas_bureau_3m,possui_avalista,qtd_parcelas_em_atraso_12m
T000001,2025-03-01,43800.0,8527.86,35272.14,0.8053,60,0.01689,939.76,0.2838,Revenda multimarca,2021,4,38,CLT,3311.41,119.0,Alugada,589.0,0,2,Não,0
T000002,2025-03-01,37300.0,10223.93,27076.07,0.7259,24,0.01519,1354.73,0.315,Digital,2021,4,35,CLT,4301.31,43.0,Própria,695.0,0,1,Sim,0
T000003,2025-06-01,51800.0,10069.92,41730.08,0.8056,60,0.01507,1061.58,0.1682,Concessionária,2023,2,29,Servidor público,6310.8,132.0,Própria,570.0,0,0,Não,0
T000004,2025-04-01,36100.0,14811.83,21288.17,0.5897,36,0.01537,774.37,0.1216,Concessionária,2022,3,26,CLT,6369.59,38.0,Alugada,603.0,2,2,Não,0
T000005,2025-03-01,37800.0,7246.26,30553.74,0.8083,36,0.01517,1107.72,0.434,Concessionária,2019,6,47,CLT,2552.09,5.0,Financiada,524.0,1,1,Não,0
T000006,2025-06-01,89200.0,12764.52,76435.48,0.8569,60,0.01539,1960.47,0.1016,Digital,2024,1,39,Servidor público,19288.98,15.0,Familiar,861.0,0,0,Não,0
T000007,2025-04-01,22000.0,4279.0,17721.0,0.8055,36,0.01664,658.29,0.4114,Correspondente bancário,2025,0,35,Autônomo,1600.0,54.0,Financiada,512.0,1,2,Não,0
T000008,2025-01-01,66300.0,13929.63,52370.37,0.7899,60,0.01627,1373.66,0.3464,Concessionária,2015,10,31,Autônomo,3965.33,,Própria,561.0,2,2,Não,0
T000009,2025-04-01,80000.0,22600.0,57400.0,0.7175,60,0.01818,1579.33,0.1447,Revenda multimarca,2021,4,49,Empresário,10917.49,58.0,Própria,720.0,0,0,Não,0
T000010,2025-01-01,40700.0,4985.75,35714.25,0.8775,60,0.01741,964.02,0.3424,Revenda multimarca,2020,5,30,CLT,2815.26,,Familiar,563.0,1,5,Não,0
T000011,2025-03-01,48100.0,22780.16,25319.84,0.5264,24,0.01491,1262.75,0.2736,Revenda multimarca,2023,2,35,CLT,4615.04,44.0,Alugada,,0,1,Não,0
T000012,2025-03-01,31600.0,4477.72,27122.28,0.8583,24,0.01554,1362.56,0.1956,Revenda multimarca,2018,7,30,CLT,6967.47,94.0,Alugada,711.0,0,0,Não,0
T000013,2025-04-01,22000.0,6881.6,15118.4,0.6872,48,0.0138,432.81,0.1527,Concessionária,2023,2,50,CLT,2833.94,40.0,Financiada,555.0,1,1,Não,0
T000014,2025-03-01,24600.0,7744.08,16855.92,0.6852,36,0.01432,602.5,0.2273,Concessionária,2023,2,58,Autônomo,2650.13,35.0,Alugada,533.0,2,3,Não,0
T000015,2025-02-01,40100.0,17591.87,22508.13,0.5613,60,0.01506,572.44,0.1443,Concessionária,2017,8,31,CLT,3965.77,,Familiar,749.0,0,0,Não,0
T000016,2025-01-01,38800.0,9571.96,29228.04,0.7533,60,0.01613,763.93,0.1245,Concessionária,2024,1,50,CLT,6134.99,177.0,Alugada,,0,1,Não,0
T000017,2025-03-01,22000.0,3979.8,18020.2,0.8191,24,0.01479,897.45,0.1572,Concessionária,2023,2,30,Autônomo,5709.13,45.0,Própria,,0,0,Não,0
T000018,2025-01-01,45600.0,16215.36,29384.64,0.6444,36,0.01379,1041.04,0.2391,Concessionária,2021,4,36,Autônomo,4354.64,28.0,Própria,526.0,2,3,Sim,0
T000019,2025-06-01,57800.0,11918.36,45881.64,0.7938,36,0.01453,1645.78,0.2706,Concessionária,2023,2,52,Autônomo,6081.18,15.0,Alugada,672.0,0,0,Não,0
T000020,2025-06-01,22000.0,3517.8,18482.2,0.8401,36,0.01643,684.19,0.297,Correspondente bancário,2021,4,37,CLT,2303.54,69.0,Familiar,494.0,1,0,Não,0
T000021,2025-04-01,63400.0,14436.18,48963.82,0.7723,48,0.01425,1415.39,0.3837,Concessionária,2023,2,33,CLT,3688.76,11.0,Financiada,640.0,0,2,Não,0
T000022,2025-06-01,32200.0,3300.5,28899.5,0.8975,36,0.01505,1045.66,0.1654,Digital,2018,7,49,CLT,6323.5,41.0,Alugada,745.0,0,3,Não,0
T000023,2025-05-01,109900.0,19957.84,89942.16,0.8184,48,0.01612,2705.64,0.1384,Concessionária,2021,4,40,Empresário,,63.0,Financiada,612.0,0,2,Não,0
T000024,2025-02-01,36200.0,2736.72,33463.28,0.9244,24,0.01652,1700.26,0.2795,Correspondente bancário,2021,4,28,CLT,,46.0,Alugada,722.0,0,1,Não,0
T000025,2025-06-01,22000.0,8606.4,13393.6,0.6088,24,0.0143,663.24,0.2823,Concessionária,2018,7,31,CLT,,19.0,Financiada,548.0,0,3,Não,0
T000026,2025-03-01,57100.0,34813.87,22286.13,0.3903,60,0.0158,577.62,0.0592,Concessionária,2021,4,33,Empresário,9758.93,2.0,Própria,576.0,1,1,Sim,0
T000027,2025-03-01,58600.0,11772.74,46827.26,0.7991,36,0.01756,1765.95,0.2482,Revenda multimarca,2020,5,46,Servidor público,7115.8,101.0,Alugada,761.0,1,1,Não,0
T000028,2025-06-01,23700.0,4507.74,19192.26,0.8098,48,0.01649,581.86,0.2213,Digital,2024,1,28,CLT,2629.28,90.0,Alugada,567.0,2,0,Não,0
T000029,2025-02-01,65100.0,16431.24,48668.76,0.7476,60,0.0159,1264.64,0.1945,Digital,2022,3,42,CLT,6502.87,133.0,Alugada,803.0,0,0,Não,0
T000030,2025-01-01,77600.0,8287.68,69312.32,0.8932,60,0.01745,1872.79,0.2715,Revenda multimarca,2023,2,55,CLT,6898.89,20.0,Própria,704.0,0,2,Não,0
T000031,2025-04-01,89300.0,31737.22,57562.78,0.6446,24,0.01625,2915.66,0.2992,Digital,2024,1,69,Aposentado,,216.0,Própria,696.0,1,1,Não,0
T000032,2025-06-01,25400.0,5257.8,20142.2,0.793,60,0.01796,551.19,0.3445,Concessionária,2020,5,33,Servidor público,1600.0,,Própria,769.0,0,0,Não,0
T000033,2025-05-01,32300.0,3963.21,28336.79,0.8773,24,0.01632,1436.47,0.2392,Revenda multimarca,2016,9,27,CLT,6005.29,108.0,Financiada,533.0,0,0,Não,0
T000034,2025-05-01,34000.0,8160.0,25840.0,0.76,48,0.01514,761.32,0.1122,Concessionária,2020,5,33,CLT,6788.09,29.0,Própria,547.0,2,4,Sim,0
T000035,2025-02-01,50700.0,4836.78,45863.22,0.9046,60,0.01558,1182.06,0.1367,Concessionária,2022,3,32,CLT,,57.0,Própria,663.0,1,3,Sim,0
T000036,2025-01-01,22000.0,2241.8,19758.2,0.8981,36,0.01506,715.02,0.2274,Digital,2021,4,38,CLT,3143.76,14.0,Financiada,555.0,0,2,Não,0
T000037,2025-02-01,61100.0,27953.25,33146.75,0.5425,24,0.01608,1675.65,0.0998,Concessionária,2021,4,28,Empresário,16795.7,,Própria,631.0,1,4,Não,0
T000038,2025-03-01,29500.0,3696.35,25803.65,0.8747,24,0.01558,1296.92,0.1835,Correspondente bancário,2022,3,38,CLT,7068.07,,Financiada,642.0,0,1,Não,0
T000039,2025-03-01,63200.0,9574.8,53625.2,0.8485,48,0.01648,1625.44,0.3353,Correspondente bancário,2024,1,33,Autônomo,4847.58,59.0,Alugada,828.0,0,0,Não,0
T000040,2025-06-01,44400.0,5581.08,38818.92,0.8743,60,0.01684,1032.96,0.2494,Concessionária,2019,6,52,Servidor público,4141.69,200.0,Alugada,492.0,0,2,Sim,0
T000041,2025-02-01,36800.0,5159.36,31640.64,0.8598,60,0.01619,828.25,0.1503,Concessionária,2022,3,67,Autônomo,5512.08,22.0,Alugada,580.0,0,3,Não,0
T000042,2025-01-01,27000.0,4962.6,22037.4,0.8162,48,0.01547,653.86,0.3185,Digital,2015,10,35,Autônomo,2052.65,34.0,Financiada,478.0,2,7,Não,0
T000043,2025-06-01,45700.0,5918.15,39781.85,0.8705,60,0.01718,1067.66,0.433,Concessionária,2020,5,39,CLT,2465.54,32.0,Alugada,575.0,0,3,Não,0
