id_proposta,data_proposta,valor_bem,valor_entrada_desejada,pct_entrada_desejada,valor_financiado_desejado,ltv_desejado,prazo_desejado_meses,canal_originacao,ano_modelo,idade_veiculo_anos,idade_cliente,ocupacao,renda_mensal_declarada,tempo_emprego_meses,tipo_residencia,score_bureau,qtd_restricoes_ativas,qtd_consultas_bureau_3m,possui_avalista,qtd_parcelas_em_atraso_12m
P000001,2025-11-01,22000.0,880.0,0.04,21120.0,0.96,60,Revenda multimarca,2017,8,35,CLT,2277.4,,Alugada,468.0,0,2,Não,0
P000002,2025-12-01,43700.0,3089.59,0.0707,40610.41,0.9293,48,Concessionária,2022,3,35,CLT,2048.06,19.0,Financiada,616.0,1,4,Não,0
P000003,2025-12-01,22000.0,5434.0,0.247,16566.0,0.753,24,Revenda multimarca,2013,12,27,CLT,1600.0,108.0,Financiada,634.0,1,1,Não,0
P000004,2025-09-01,36000.0,2620.8,0.0728,33379.2,0.9272,36,Concessionária,2016,9,75,Aposentado,3463.5,48.0,Financiada,420.0,1,0,Sim,0
P000005,2025-08-01,71700.0,3398.58,0.0474,68301.42,0.9526,60,Correspondente bancário,2023,2,26,Autônomo,5379.87,18.0,Própria,817.0,0,2,Não,0
P000006,2025-11-01,54700.0,2073.13,0.0379,52626.87,0.9621,36,Concessionária,2021,4,32,CLT,4602.14,18.0,Própria,802.0,0,2,Não,0
P000007,2025-07-01,57400.0,7806.4,0.136,49593.6,0.864,48,Digital,2022,3,40,Empresário,9031.6,34.0,Própria,702.0,0,0,Não,0
P000008,2025-11-01,45500.0,14710.15,0.3233,30789.85,0.6767,60,Digital,2019,6,47,CLT,3976.73,59.0,Alugada,595.0,0,1,Não,0
P000009,2025-08-01,35000.0,3692.5,0.1055,31307.5,0.8945,36,Concessionária,2023,2,22,CLT,4138.49,28.0,Financiada,532.0,2,3,Sim,0
P000010,2025-11-01,43900.0,7405.93,0.1687,36494.07,0.8313,48,Correspondente bancário,2021,4,41,Empresário,7400.25,19.0,Financiada,705.0,0,1,Não,0
P000011,2025-08-01,32600.0,4182.58,0.1283,28417.42,0.8717,36,Revenda multimarca,2023,2,34,Autônomo,2187.84,6.0,Própria,429.0,3,3,Não,0
P000012,2025-09-01,50100.0,8922.81,0.1781,41177.19,0.8219,48,Revenda multimarca,2024,1,24,CLT,3899.31,30.0,Própria,482.0,3,3,Não,0
P000013,2025-09-01,45100.0,11667.37,0.2587,33432.63,0.7413,36,Concessionária,2020,5,59,Empresário,8062.21,101.0,Familiar,430.0,1,1,Não,0
P000014,2025-11-01,45300.0,7981.86,0.1762,37318.14,0.8238,60,Concessionária,2023,2,47,CLT,9701.63,,Financiada,472.0,3,5,Não,0
P000015,2025-09-01,31300.0,3853.03,0.1231,27446.97,0.8769,60,Concessionária,2024,1,46,CLT,5413.7,25.0,Própria,634.0,4,1,Sim,0
P000016,2025-10-01,31400.0,8446.6,0.269,22953.4,0.731,48,Concessionária,2020,5,51,CLT,3137.87,73.0,Própria,558.0,0,1,Não,0
P000017,2025-11-01,91400.0,1828.0,0.02,89572.0,0.98,24,Concessionária,2016,9,36,Empresário,5079.89,83.0,Alugada,539.0,2,3,Sim,0
P000018,2025-11-01,37000.0,7311.2,0.1976,29688.8,0.8024,60,Concessionária,2022,3,55,Aposentado,3440.99,227.0,Alugada,590.0,1,1,Não,0
P000019,2025-11-01,22000.0,13173.6,0.5988,8826.4,0.4012,48,Correspondente bancário,2019,6,63,Autônomo,4839.23,2.0,Própria,522.0,0,1,Não,0
P000020,2025-08-01,22000.0,2871.0,0.1305,19129.0,0.8695,60,Digital,2016,9,35,Empresário,2715.42,35.0,Alugada,372.0,2,7,Não,0
P000021,2025-09-01,69400.0,6912.24,0.0996,62487.76,0.9004,48,Concessionária,2023,2,46,Empresário,9343.65,19.0,Familiar,622.0,0,1,Não,0
P000022,2025-09-01,86300.0,35900.8,0.416,50399.2,0.584,60,Concessionária,2022,3,75,Aposentado,5217.45,270.0,Própria,563.0,1,1,Sim,0
P000023,2025-12-01,72200.0,14367.8,0.199,57832.2,0.801,24,Correspondente bancário,2022,3,32,CLT,11512.56,,Alugada,785.0,0,1,Não,0
P000024,2025-09-01,32600.0,3191.54,0.0979,29408.46,0.9021,60,Concessionária,2020,5,23,Empresário,,60.0,Alugada,734.0,0,1,Não,0
P000025,2025-10-01,25300.0,10927.07,0.4319,14372.93,0.5681,60,Correspondente bancário,2023,2,23,Autônomo,4236.51,20.0,Própria,532.0,1,1,Não,0
P000026,2025-08-01,32400.0,8355.96,0.2579,24044.04,0.7421,36,Correspondente bancário,2021,4,33,Servidor público,,153.0,Alugada,414.0,2,2,Não,0
P000027,2025-12-01,40000.0,10060.0,0.2515,29940.0,0.7485,24,Concessionária,2022,3,34,Autônomo,1600.0,27.0,Alugada,590.0,0,1,Não,0
P000028,2025-11-01,59300.0,10294.48,0.1736,49005.52,0.8264,60,Digital,2022,3,28,Servidor público,,106.0,Própria,445.0,5,4,Não,0
P000029,2025-10-01,46300.0,15353.08,0.3316,30946.92,0.6684,60,Correspondente bancário,2021,4,41,CLT,6977.23,13.0,Financiada,643.0,2,0,Não,0
P000030,2025-08-01,24900.0,8724.96,0.3504,16175.04,0.6496,60,Concessionária,2021,4,36,CLT,4349.96,127.0,Familiar,500.0,0,6,Sim,0
P000031,2025-11-01,46500.0,13485.0,0.29,33015.0,0.71,48,Correspondente bancário,2023,2,37,CLT,6456.98,7.0,Própria,727.0,0,2,Não,0
P000032,2025-10-01,25300.0,2535.06,0.1002,22764.94,0.8998,36,Digital,2017,8,57,Autônomo,,68.0,Familiar,244.0,5,2,Sim,0
P000033,2025-11-01,23800.0,2180.08,0.0916,21619.92,0.9084,36,Digital,2021,4,50,Empresário,3235.57,32.0,Própria,98.0,5,9,Não,0
P000034,2025-09-01,40200.0,20112.06,0.5003,20087.94,0.4997,36,Revenda multimarca,2023,2,27,Servidor público,,19.0,Financiada,550.0,1,3,Não,0
P000035,2025-08-01,62100.0,5179.14,0.0834,56920.86,0.9166,24,Correspondente bancário,2022,3,27,CLT,12461.07,17.0,Própria,791.0,0,0,Não,0
P000036,2025-12-01,22000.0,6498.8,0.2954,15501.2,0.7046,24,Concessionária,2021,4,60,Autônomo,4602.99,70.0,Alugada,588.0,0,1,Não,0
