id_contrato,pd
T000001,0.045454
T000002,0.044286
T000003,0.098823
T000004,0.044864
T000005,0.117423
T000006,0.037529
T000007,0.190056
T000008,0.32175
T000009,0.027907
T000010,0.165042
T000011,0.057662
T000012,0.029423
T000013,0.049273
T000014,0.141129
T000015,0.061719
T000016,0.045855
T000017,0.028856
T000018,0.115021
T000019,0.051822
T000020,0.083303
T000021,0.063581
T000022,0.04136
T000023,0.029295
T000024,0.042362
T000025,0.056742
T000026,0.083369
T000027,0.035068
T000028,0.128539
T000029,0.035707
T000030,0.050301
T000031,0.085084
T000032,0.060605
T000033,0.032791
T000034,0.103982
T000035,0.045105
T000036,0.06779
T000037,0.024561
T000038,0.040053
T000039,0.100488
T000040,0.072273
T000041,0.04629
T000042,0.411827
T000043,0.05969
T000044,0.075714
T000045,0.119163
T000046,0.042419
T000047,0.182596
T000048,0.042698
T000049,0.076694
T000050,0.037955
T000051,0.028806
T000052,0.076003
T000053,0.052255
T000054,0.050993
T000055,0.044032
T000056,0.097562
T000057,0.044144
T000058,0.06247
T000059,0.076497
T000060,0.036504
T000061,0.046631
T000062,0.061398
T000063,0.040669
T000064,0.0872
T000065,0.129313
T000066,0.042086
T000067,0.218723
T000068,0.335628
T000069,0.042086
T000070,0.063895
T000071,0.060092
T000072,0.037561
T000073,0.026128
T000074,0.03131
T000075,0.03066
T000076,0.0668
T000077,0.069353
T000078,0.21923
T000079,0.042662
T000080,0.027566
T000081,0.04297
T000082,0.086575
T000083,0.072824
T000084,0.062401
T000085,0.04136
T000086,0.031673
T000087,0.047471
T000088,0.037016
T000089,0.070705
T000090,0.058131
T000091,0.089879
T000092,0.057897
T000093,0.046676
T000094,0.040639
T000095,0.088862
T000096,0.063219
T000097,0.091762
T000098,0.164618
T000099,0.058464
T000100,0.066402
T000101,0.036396
T000102,0.057312
T000103,0.06365
T000104,0.300926
T000105,0.047276
T000106,0.133481
T000107,0.20714
T000108,0.027297
T000109,0.068468
T000110,0.041056
T000111,0.078503
T000112,0.038991
T000113,0.120819
T000114,0.36264
T000115,0.061869
T000116,0.290385
T000117,0.070543
T000118,0.04648
T000119,0.043718
T000120,0.044877
T000121,0.042972
T000122,0.027772
T000123,0.02652
T000124,0.055598
T000125,0.057542
T000126,0.088026
T000127,0.101069
T000128,0.05815
T000129,0.029707
T000130,0.258848
T000131,0.029002
T000132,0.035944
T000133,0.08413
T000134,0.027043
T000135,0.039373
T000136,0.026159
T000137,0.033922
T000138,0.044589
T000139,0.033492
T000140,0.045606
T000141,0.093135
T000142,0.0608
T000143,0.151398
T000144,0.052722
T000145,0.058882
T000146,0.163618
T000147,0.077918
T000148,0.110011
T000149,0.038486
T000150,0.075075
T000151,0.320459
T000152,0.043064
T000153,0.102208
T000154,0.037145
T000155,0.054408
T000156,0.04969
T000157,0.052353
T000158,0.038161
T000159,0.072451
T000160,0.525807
T000161,0.037925
T000162,0.048248
T000163,0.036755
T000164,0.087277
T000165,0.042018
T000166,0.098811
T000167,0.062091
T000168,0.598383
T000169,0.093248
T000170,0.04139
T000171,0.07219
T000172,0.042088
T000173,0.078042
T000174,0.022226
T000175,0.166908
T000176,0.123748
T000177,0.073932
T000178,0.036631
T000179,0.57811
T000180,0.03758
T000181,0.048066
T000182,0.044962
T000183,0.041168
T000184,0.121993
T000185,0.035324
T000186,0.052216
T000187,0.041762
T000188,0.07308
T000189,0.279161
T000190,0.064998
T000191,0.044953
T000192,0.085786
T000193,0.093221
T000194,0.053707
T000195,0.060357
T000196,0.034094
T000197,0.047149
T000198,0.039098
T000199,0.050795
T000200,0.043632
T000201,0.075996
T000202,0.080635
T000203,0.042951
T000204,0.068697
T000205,0.06491
T000206,0.039853
T000207,0.034688
T000208,0.057027
T000209,0.055771
T000210,0.048247
T000211,0.039212
T000212,0.041594
T000213,0.093439
T000214,0.158313
T000215,0.154637
T000216,0.066102
T000217,0.06177
T000218,0.056124
T000219,0.053504
T000220,0.092275
T000221,0.06216
T000222,0.087119
T000223,0.04874
T000224,0.131138
T000225,0.040497
T000226,0.033669
T000227,0.047461
T000228,0.033128
T000229,0.032195
T000230,0.057393
T000231,0.037495
T000232,0.040158
T000233,0.031669
T000234,0.113485
T000235,0.057663
T000236,0.039258
T000237,0.211086
T000238,0.080549
T000239,0.055549
T000240,0.044624
T000241,0.08182
T000242,0.282721
T000243,0.131519
T000244,0.033338
T000245,0.038738
T000246,0.103833
T000247,0.041602
T000248,0.091879
T000249,0.036516
T000250,0.056905
T000251,0.02685
T000252,0.321111
T000253,0.144465
T000254,0.125534
T000255,0.101277
T000256,0.03487
T000257,0.09913
T000258,0.027023
T000259,0.072699
T000260,0.026543
T000261,0.06612
T000262,0.04465
T000263,0.036263
T000264,0.04102
T000265,0.042652
T000266,0.036158
T000267,0.059737
T000268,0.029337
T000269,0.046335
T000270,0.050483
T000271,0.040378
T000272,0.045492
T000273,0.039629
T000274,0.080212
T000275,0.051356
T000276,0.081955
T000277,0.053795
T000278,0.036526
T000279,0.030844
T000280,0.038873
T000281,0.042593
T000282,0.03683
T000283,0.060796
T000284,0.165395
T000285,0.098195
T000286,0.048441
T000287,0.087425
T000288,0.057654
T000289,0.063773
T000290,0.041648
T000291,0.110736
T000292,0.040227
T000293,0.040137
T000294,0.082987
T000295,0.116019
T000296,0.041437
T000297,0.0692
T000298,0.033602
T000299,0.021352
T000300,0.058318
T000301,0.088706
T000302,0.036405
T000303,0.07016
T000304,0.056003
T000305,0.091891
T000306,0.115793
T000307,0.089365
T000308,0.030201
T000309,0.084078
T000310,0.028553
T000311,0.031384
T000312,0.029356
T000313,0.03045
T000314,0.04528
T000315,0.040829
T000316,0.043216
T000317,0.08369
T000318,0.053331
T000319,0.206801
T000320,0.031476
T000321,0.060835
T000322,0.034017
T000323,0.046726
T000324,0.122096
T000325,0.147949
T000326,0.043882
T000327,0.050661
T000328,0.085372
T000329,0.086712
T000330,0.043152
T000331,0.023283
T000332,0.084643
T000333,0.227317
T000334,0.029162
T000335,0.048101
