id_proposta,pd,score_1a10,decisao,taxa_am,prazo_meses,pct_entrada_minima
P000001,0.166005,3,NEGAR,,,
P000002,0.057487,7,APROVAR,0.0256,48,0.0
P000003,0.024353,10,APROVAR,0.0227,24,0.0
P000004,0.132882,4,NEGAR,,,
P000005,0.487968,1,NEGAR,,,
P000006,0.074052,6,APROVAR,0.0265,36,0.21
P000007,0.032782,10,APROVAR,0.0227,48,0.0
P000008,0.043522,9,APROVAR,0.0236,60,0.0
P000009,0.065354,7,APROVAR,0.0256,36,0.0
P000010,0.041898,9,APROVAR,0.0236,48,0.0
P000011,0.559009,1,NEGAR,,,
P000012,0.269297,2,NEGAR,,,
P000013,0.061689,7,APROVAR,0.0256,36,0.0
P000014,0.212147,2,NEGAR,,,
P000015,0.028884,10,APROVAR,0.0227,60,0.0
P000016,0.044221,9,APROVAR,0.0236,48,0.0
P000017,0.235306,2,NEGAR,,,
P000018,0.052458,8,APROVAR,0.0247,60,0.0
P000019,0.076898,6,APROVAR,0.0265,48,0.21
P000020,0.344703,1,NEGAR,,,
P000021,0.038495,9,APROVAR,0.0236,48,0.0
P000022,0.041887,9,APROVAR,0.0236,60,0.0
P000023,0.034934,10,APROVAR,0.0227,24,0.0
P000024,0.317758,1,NEGAR,,,
P000025,0.531471,1,NEGAR,,,
P000026,0.316493,1,NEGAR,,,
P000027,0.224476,2,NEGAR,,,
P000028,0.406728,1,NEGAR,,,
P000029,0.029275,10,APROVAR,0.0227,60,0.0
P000030,0.076053,6,APROVAR,0.0265,60,0.21
P000031,0.043466,9,APROVAR,0.0236,48,0.0
P000032,0.287642,2,NEGAR,,,
P000033,0.229849,2,NEGAR,,,
P000034,0.045369,8,APROVAR,0.0247,36,0.0
P000035,0.034127,10,APROVAR,0.0227,24,0.0
P000036,0.045491,8,APROVAR,0.0247,24,0.0
P000037,0.174368,3,NEGAR,,,
P000038,0.043188,9,APROVAR,0.0236,36,0.0
P000039,0.045196,8,APROVAR,0.0247,24,0.0
P000040,0.10144,5,APROVAR,0.0282,60,0.21
P000041,0.228209,2,NEGAR,,,
P000042,0.538578,1,NEGAR,,,
P000043,0.266884,2,NEGAR,,,
P000044,0.041196,9,APROVAR,0.0236,36,0.0
P000045,0.083866,6,APROVAR,0.0265,24,0.21
P000046,0.234726,2,NEGAR,,,
P000047,0.068395,6,APROVAR,0.0265,36,0.21
P000048,0.18014,3,NEGAR,,,
P000049,0.187455,3,NEGAR,,,
P000050,0.052299,8,APROVAR,0.0247,36,0.0
P000051,0.291556,2,NEGAR,,,
P000052,0.058717,7,APROVAR,0.0256,48,0.0
P000053,0.283418,2,NEGAR,,,
P000054,0.216861,2,NEGAR,,,
P000055,0.096822,5,APROVAR,0.0282,60,0.21
P000056,0.211374,2,NEGAR,,,
P000057,0.238434,2,NEGAR,,,
P000058,0.353477,1,NEGAR,,,
P000059,0.215312,2,NEGAR,,,
P000060,0.031549,10,APROVAR,0.0227,60,0.0
P000061,0.147094,3,NEGAR,,,
P000062,0.160493,3,NEGAR,,,
P000063,0.378096,1,NEGAR,,,
P000064,0.148192,3,NEGAR,,,
P000065,0.046951,8,APROVAR,0.0247,36,0.0
P000066,0.17736,3,NEGAR,,,
P000067,0.269378,2,NEGAR,,,
P000068,0.193931,3,NEGAR,,,
P000069,0.059586,7,APROVAR,0.0256,60,0.0
P000070,0.142371,4,NEGAR,,,
P000071,0.21004,2,NEGAR,,,
P000072,0.023281,10,APROVAR,0.0227,36,0.0
P000073,0.439816,1,NEGAR,,,
P000074,0.140503,4,NEGAR,,,
P000075,0.05576,7,APROVAR,0.0256,60,0.0
P000076,0.088682,5,APROVAR,0.0282,48,0.21
P000077,0.150532,3,NEGAR,,,
P000078,0.272153,2,NEGAR,,,
P000079,0.07838,6,APROVAR,0.0265,36,0.21
P000080,0.134258,4,NEGAR,,,
P000081,0.045865,8,APROVAR,0.0247,60,0.0
P000082,0.208552,3,NEGAR,,,
P000083,0.237982,2,NEGAR,,,
P000084,0.345161,1,NEGAR,,,
P000085,0.030156,10,APROVAR,0.0227,36,0.0
P000086,0.345774,1,NEGAR,,,
P000087,0.107406,4,NEGAR,,,
P000088,0.208252,3,NEGAR,,,
P000089,0.056018,7,APROVAR,0.0256,24,0.0
P000090,0.032774,10,APROVAR,0.0227,24,0.0
P000091,0.103827,5,APROVAR,0.0282,48,0.21
P000092,0.038319,9,APROVAR,0.0236,48,0.0
P000093,0.178534,3,NEGAR,,,
P000094,0.237883,2,NEGAR,,,
P000095,0.244996,2,NEGAR,,,
P000096,0.203863,3,NEGAR,,,
P000097,0.072711,6,APROVAR,0.0265,36,0.21
P000098,0.134084,4,NEGAR,,,
P000099,0.062621,7,APROVAR,0.0256,24,0.0
P000100,0.184663,3,NEGAR,,,
P000101,0.22562,2,NEGAR,,,
P000102,0.049585,8,APROVAR,0.0247,60,0.0
P000103,0.118942,4,NEGAR,,,
P000104,0.098552,5,APROVAR,0.0282,24,0.21
P000105,0.02933,10,APROVAR,0.0227,36,0.0
P000106,0.155766,3,NEGAR,,,
P000107,0.035873,10,APROVAR,0.0227,24,0.0
P000108,0.038308,9,APROVAR,0.0236,36,0.0
P000109,0.072542,6,APROVAR,0.0265,36,0.21
P000110,0.097702,5,APROVAR,0.0282,60,0.21
P000111,0.239474,2,NEGAR,,,
P000112,0.181248,3,NEGAR,,,
P000113,0.054213,7,APROVAR,0.0256,24,0.0
P000114,0.305302,1,NEGAR,,,
P000115,0.234752,2,NEGAR,,,
P000116,0.046105,8,APROVAR,0.0247,60,0.0
P000117,0.484981,1,NEGAR,,,
P000118,0.033883,10,APROVAR,0.0227,60,0.0
P000119,0.081578,6,APROVAR,0.0265,60,0.21
P000120,0.241276,2,NEGAR,,,
P000121,0.233019,2,NEGAR,,,
P000122,0.214946,2,NEGAR,,,
P000123,0.13731,4,NEGAR,,,
P000124,0.209805,2,NEGAR,,,
P000125,0.048787,8,APROVAR,0.0247,24,0.0
P000126,0.066222,7,APROVAR,0.0256,48,0.0
P000127,0.092392,5,APROVAR,0.0282,36,0.21
P000128,0.204363,3,NEGAR,,,
P000129,0.731792,1,NEGAR,,,
P000130,0.032388,10,APROVAR,0.0227,36,0.0
P000131,0.173154,3,NEGAR,,,
P000132,0.034934,10,APROVAR,0.0227,24,0.0
P000133,0.26994,2,NEGAR,,,
P000134,0.231701,2,NEGAR,,,
P000135,0.058542,7,APROVAR,0.0256,60,0.0
P000136,0.235437,2,NEGAR,,,
P000137,0.231857,2,NEGAR,,,
P000138,0.463088,1,NEGAR,,,
P000139,0.148171,3,NEGAR,,,
P000140,0.207751,3,NEGAR,,,
P000141,0.262038,2,NEGAR,,,
P000142,0.11684,4,NEGAR,,,
P000143,0.096825,5,APROVAR,0.0282,60,0.21
P000144,0.540656,1,NEGAR,,,
P000145,0.073371,6,APROVAR,0.0265,36,0.21
P000146,0.14289,3,NEGAR,,,
P000147,0.055815,7,APROVAR,0.0256,60,0.0
P000148,0.510834,1,NEGAR,,,
P000149,0.137211,4,NEGAR,,,
P000150,0.025353,10,APROVAR,0.0227,48,0.0
P000151,0.085046,5,APROVAR,0.0282,36,0.21
P000152,0.030096,10,APROVAR,0.0227,60,0.0
P000153,0.102985,5,APROVAR,0.0282,60,0.21
P000154,0.248957,2,NEGAR,,,
P000155,0.274329,2,NEGAR,,,
P000156,0.053444,8,APROVAR,0.0247,36,0.0
P000157,0.040877,9,APROVAR,0.0236,24,0.0
P000158,0.036211,10,APROVAR,0.0227,36,0.0
P000159,0.239683,2,NEGAR,,,
P000160,0.033781,10,APROVAR,0.0227,60,0.0
P000161,0.048608,8,APROVAR,0.0247,24,0.0
P000162,0.025472,10,APROVAR,0.0227,36,0.0
P000163,0.037761,9,APROVAR,0.0236,24,0.0
P000164,0.294721,2,NEGAR,,,
